Strike,Call_Price,Put_Price,Maturity_Days
197.965,163542.5282570018,163507.4151686536,15
202.965,167669.87231057475,167639.75472425093,15
207.965,171787.86847578047,171762.74639148105,15
212.965,175940.85066171392,175920.7240794389,15
217.965,180051.17882114422,180036.04774089358,15
222.965,184186.44274297295,184176.30716474671,15
227.965,188331.0027745968,188325.86269839492,15
232.965,192439.59623989568,192439.4516657182,15
237.965,196580.61001833325,196585.46094618016,15
242.965,200721.7402218439,200731.58665171522,15
247.965,204831.2746123102,204846.1165442059,15
252.965,208970.02833143453,208989.86576535463,15
257.96500000000003,213114.30298580413,213139.13592174862,15
262.96500000000003,217226.23453710592,217256.0629750748,15
197.965,752843.5214657964,752807.8750730716,60
202.965,771858.174096677,771827.5097363134,60
207.965,790872.7337828608,790847.0514548583,60
212.965,809887.146215068,809866.4459194266,60
217.965,828901.8390095482,828886.120746268,60
222.965,847916.3599209945,847905.6236900755,60
227.965,866930.8994405044,866925.1452419464,60
232.965,885945.5298601475,885944.7576939508,60
237.965,904960.0824777097,904964.2923438741,60
242.965,923974.6617487601,923983.8536472857,60
247.965,942989.1382805553,943003.312211442,60
252.965,962003.7462134197,962022.9021766676,60
257.96500000000003,981018.3403655872,981042.4783611962,60
262.96500000000003,1000032.8196850131,1000061.9397129833,60
